fold,max_depth,max_features,min_samples_split,min_samples_leaf,bootstrap,f1
2,10.0,sqrt,2,10,True,0.6591893278366138
2,10.0,sqrt,5,10,True,0.6591893278366138
2,10.0,sqrt,10,10,True,0.6591893278366138
2,10.0,log2,2,1,True,0.5385329645595561
2,10.0,log2,5,1,True,0.4954695496638397
2,10.0,log2,10,1,True,0.4604195617763649
2,10.0,log2,2,2,True,0.5289989463003669
2,10.0,log2,5,2,True,0.49044378062852345
2,10.0,log2,10,2,True,0.47511499784720934
2,10.0,log2,2,5,True,0.46882735914704704
2,10.0,log2,5,5,True,0.46882735914704704
2,10.0,log2,10,5,True,0.46882735914704704
2,10.0,log2,2,10,True,0.4144570809516737
2,10.0,log2,5,10,True,0.4144570809516737
2,10.0,log2,10,10,True,0.4144570809516737
2,10.0,0.1,2,1,True,0.7689340789022886
2,10.0,0.1,5,1,True,0.794467751784041
2,10.0,0.1,10,1,True,0.7741632388489439
2,10.0,0.1,2,2,True,0.7670849844457444
2,10.0,0.1,5,2,True,0.776013194823262
2,10.0,0.1,10,2,True,0.7750135795878279
2,10.0,0.1,2,5,True,0.7436519105601882
2,10.0,0.1,5,5,True,0.7436519105601882
2,10.0,0.1,10,5,True,0.7436519105601882
2,10.0,0.1,2,10,True,0.7076688474345331
2,10.0,0.1,5,10,True,0.7076688474345331
2,10.0,0.1,10,10,True,0.7076688474345331
2,10.0,0.25,2,1,True,0.8378720576584284
2,10.0,0.25,5,1,True,0.8283019603149716
2,10.0,0.25,10,1,True,0.833353922655227
2,10.0,0.25,2,2,True,0.8131652251140011
2,10.0,0.25,5,2,True,0.8222323035784337
2,10.0,0.25,10,2,True,0.8240885140053203
2,10.0,0.25,2,5,True,0.8106599729091659
2,10.0,0.25,5,5,True,0.8106599729091659
2,10.0,0.25,10,5,True,0.8106599729091659
2,10.0,0.25,2,10,True,0.7491177509709604
2,10.0,0.25,5,10,True,0.7491177509709604
2,10.0,0.25,10,10,True,0.7491177509709604
2,10.0,0.5,2,1,True,0.8314972759840089
2,10.0,0.5,5,1,True,0.8444992168586396
2,10.0,0.5,10,1,True,0.837522405669495
2,10.0,0.5,2,2,True,0.8383536983032842
2,10.0,0.5,5,2,True,0.8367438673124135
2,10.0,0.5,10,2,True,0.8334483738767368
2,10.0,0.5,2,5,True,0.8256182579243191
2,10.0,0.5,5,5,True,0.8256182579243191
2,10.0,0.5,10,5,True,0.8256182579243191
2,10.0,0.5,2,10,True,0.777273192325964
2,10.0,0.5,5,10,True,0.777273192325964
2,10.0,0.5,10,10,True,0.777273192325964
2,20.0,sqrt,2,1,True,0.732222753428053
2,20.0,sqrt,5,1,True,0.7785334702039679
2,20.0,sqrt,10,1,True,0.7430279910303219
2,20.0,sqrt,2,2,True,0.7616786294230811
2,20.0,sqrt,5,2,True,0.747279452332248
2,20.0,sqrt,10,2,True,0.7416547372118056
2,20.0,sqrt,2,5,True,0.7094146149642417
2,20.0,sqrt,5,5,True,0.7094146149642417
2,20.0,sqrt,10,5,True,0.7094146149642417
2,20.0,sqrt,2,10,True,0.690019669443336
2,20.0,sqrt,5,10,True,0.690019669443336
